Traffic (Mbps),RTT (ms)
482,0.369600231
482,0.220961103
482,0.269569501
482,0.252902674
482,0.496382842
482,0.225158339
482,0.531
944,0.628529784
944,0.563518654
944,0.824245754
944,0.52442105
944,0.450095868
944,0.776893757
944,0.55042756
944,0.511057721
944,0.548332291
944,0.763729892
944,0.596618894
944,0.679432209
944,0.936
944,0.678936688
944,0.430255338
944,0.493789048
944,0.614898008
944,0.599215758
944,0.529270152
944,0.493483519
944,0.797548796
944,0.4652516
944,0.936
944,0.496141467
944,0.936
944,0.72176363
944,0.457382169
944,0.465776243
944,0.603950264
944,0.480428974
944,0.936
944,0.584076642
944,0.518770288
944,0.482934178
944,0.758414475
944,0.453868712
944,0.567586351
944,0.862022759
944,0.453310517
944,0.433966657
944,0.706059018
944,0.524330934
944,0.936
944,0.492493799
944,0.507502437
944,0.825762166
944,0.434317276
944,0.534273999
944,0.441082414
944,0.573717459
944,0.493970089
944,0.825561083
944,0.486465226
944,0.731389289
944,0.556345044
944,0.563926133
944,0.936
944,0.514237726
944,0.465319018
944,0.519538277
944,0.437515517
944,0.477441959
944,0.474865406
944,0.433814691
944,0.84386982
944,0.570085566
944,0.426948844
944,0.639105852
944,0.936
944,0.541822413
944,0.597304567
944,0.743513597
944,0.529763499
944,0.690929315
944,0.566320874
944,0.570052491
944,0.761812419
944,0.799751925
944,0.444127827
944,0.519247485
944,0.438507213
944,0.558657828
944,0.502834737
944,0.438125347
944,0.490313243
944,0.532741253
944,0.515776979
944,0.48629542
944,0.43337263
944,0.46138423
944,0.539277867
944,0.440420601
944,0.612124581
944,0.590569915
944,0.595266989
944,0.936
944,0.648309522
944,0.659533097
944,0.725707725
944,0.453154279
1304,0.490019393
1304,0.487237299
1304,0.669361604
1304,0.463423504
1304,1.02
1304,1.02
1304,0.632842003
1304,0.521312779
1304,0.48131592
1304,0.449141639
1304,0.464869961
1304,0.514710806
1304,0.446838992
1304,0.822846606
1304,0.713540224
1304,0.596849692
1304,0.641740034
1304,0.728388783
1304,0.521275091
1304,0.597715467
1304,0.491070465
1304,0.505441562
1304,0.511182675
1304,0.655791488
1304,0.455487736
1304,1.02
1304,0.475995468
1304,0.713326381
1304,0.448053885
1304,0.667425678
1304,0.538422006
1304,0.624173392
1304,0.488158057
1304,0.611145655
1304,0.853514945
1304,1.02
1304,0.533471062
1304,0.451982542
1304,1.02
1304,0.511323584
1304,0.506427042
1304,0.477434962
1304,0.54462465
1304,0.543567175
1304,0.559132102
1304,1.02
1304,0.477929439
1304,0.988509287
1304,0.613172976
1304,0.560559685
1304,0.449610844
1304,0.496455585
1304,0.472111836
1304,0.999726839
1304,0.514417611
1304,0.498772078
1304,1.02
1304,0.540654762
1304,0.516422417
1304,0.834404692
1304,0.525760338
1304,0.473327424
1304,1.02
1304,0.524861686
1304,0.582280764
1304,0.753316894
1304,0.981561463
1304,0.728925598
1304,0.461666898
1304,0.620799734
1304,0.595166448
1304,0.444829768
1304,0.615043283
1304,0.572909709
1304,0.786647359
1304,0.540153203
1304,1.02
1304,0.453255644
1304,0.698220586
1304,0.585706625
1304,0.578856809
1304,0.739501649
1304,0.5640548
1304,0.485583637
1304,0.587534698
1304,0.608970559
1304,0.519554599
1304,0.891273978
1304,0.669615683
1304,0.473218801
1304,0.508844882
1304,0.640747518
1304,1.02
1304,1.02
1304,0.470672759
1304,0.601470314
1304,0.502129601
1304,0.619362321
1304,0.452648673
1304,0.996333592
